15700, 300, 353, 414, 513, 363
15800, 301, 352, 417, 503, 363
15900, 300, 352, 418, 493, 363
16000, 300, 353, 417, 483, 363
16100, 300, 352, 417, 473, 363
16200, 301, 352, 416, 463, 363
16300, 301, 351, 417, 453, 363
16400, 301, 352, 417, 443, 363
16500, 303, 353, 415, 433, 363
16600, 303, 353, 416, 423, 363
16700, 302, 352, 416, 413, 363
16800, 301, 351, 415, 403, 363
16900, 301, 351, 417, 393, 363
17000, 301, 350, 417, 383, 363
17100, 301, 351, 415, 373, 363
17200, 301, 351, 418, 363, 363
17300, 301, 352, 416, 353, 363
17400, 302, 352, 415, 343, 363
17500, 302, 352, 417, 333, 363
17600, 302, 352, 416, 323, 363
17700, 302, 352, 415, 313, 363
17800, 303, 353, 417, 303, 363
17900, 310, 371, 405, 293, 363
18000, 314, 355, 414, 293, 363
18100, 202, 308, 422, 283, 363
18200, 301, 361, 427, 273, 363
18300, 391, 371, 443, 273, 363
18400, 369, 377, 443, 273, 363
18500, 373, 371, 448, 273, 363
18600, 369, 372, 447, 273, 363
18700, 370, 373, 446, 273, 363
18800, 364, 370, 449, 273, 363
18900, 367, 367, 451, 273, 363
19000, 366, 366, 451, 273, 363
19100, 370, 368, 450, 273, 363
19200, 368, 371, 449, 273, 363
19300, 369, 369, 450, 273, 363
19400, 369, 370, 447, 273, 363
19500, 368, 368, 450, 273, 363
19600, 365, 369, 449, 273, 363
19700, 369, 369, 449, 273, 363
19800, 370, 371, 449, 273, 363
19900, 370, 369, 449, 273, 363
20000, 368, 367, 453, 273, 363
20100, 364, 366, 452, 273, 363
20200, 367, 371, 446, 273, 363
20300, 367, 368, 448, 273, 363
20400, 365, 367, 450, 273, 363
20500, 368, 368, 451, 273, 363
20600, 364, 368, 449, 273, 363
20700, 366, 367, 451, 273, 363
20800, 365, 368, 449, 273, 363
20900, 366, 368, 450, 273, 363
21000, 364, 369, 450, 273, 363
21100, 366, 368, 449, 273, 363
21200, 364, 368, 450, 273, 363
21300, 363, 369, 449, 273, 363
21400, 364, 368, 449, 273, 363
21500, 367, 370, 447, 273, 363
21600, 365, 367, 450, 273, 363
